employeeId;DM020001;DM020022;DM020024;DM020021;DM020008;DM020023;DM020019;DM020018;DM020004;DM020009;DM000003;DM020089;DM020025;DM020026;Sum
DM00028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00028;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00029;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00031;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00035;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00036;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00042;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00051;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00059;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00104;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00112;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00115;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00126;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00147;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00197;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00208;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00224;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00235;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00247;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00257;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00269;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00270;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00273;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00275;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00285;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00288;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00289;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00291;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00296;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00300;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00314;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00316;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00321;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00324;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00340;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00344;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00346;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00348;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00352;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00353;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00354;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00356;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00359;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00362;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00363;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00364;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00370;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00371;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00372;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00373;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00374;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00378;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00379;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00380;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00381;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
DM00382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DM00382;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
